Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Beluga Whale,Delphinapterus leucas,Ungava Bay population,Mammals,"Quebec, Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Eastern Beaufort Sea population,Mammals,"Northwest Territories, Arctic Ocean",Not at Risk,,
Beluga Whale,Delphinapterus leucas,Western Hudson Bay population,Mammals,"Nunavut, Manitoba, Ontario, Arctic Ocean, Atlantic Ocean",Special Concern,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Southeast Baffin Island-Cumberland Sound population,Mammals,"Nunavut, Arctic Ocean",Non-active,Schedule 2,Endangered
Bent Spike-rush,Eleocharis geniculata,Southern Mountain population,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Bent Spike-rush,Eleocharis geniculata,Great Lakes Plains population,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Bering Cisco,Coregonus laurettae,,Fishes,Yukon,Special Concern,No schedule,No Status
Bering Wolffish,Anarhichas orientalis,,Fishes,Arctic Ocean,Data Deficient,Schedule 3,Special Concern
Bert's Predaceous Diving Beetle,Sanfilippodytes bertae,,Arthropods,Alberta,Endangered,Schedule 1,Endangered
Bicknell's Thrush,Catharus bicknelli,,Birds,"Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened
Big Skate,Raja binoculata,,Fishes,Pacific Ocean,Not at Risk,,
Bigmouth Buffalo,Ictiobus cyprinellus,,Fishes,"Saskatchewan, Manitoba, Ontario",Non-active,Schedule 3,Special Concern
Bigmouth Buffalo,Ictiobus cyprinellus,Great Lakes - Upper St. Lawrence populations,Fishes,Ontario,Not at Risk,,
Bigmouth Buffalo,Ictiobus cyprinellus,Saskatchewan - Nelson River populations,Fishes,"Saskatchewan, Manitoba",Special Concern,Schedule 1,Special Concern
Bigmouth Shiner,Notropis dorsalis,,Fishes,Manitoba,Not at Risk,Schedule 3,Special Concern
Bird's-foot Violet,Viola pedata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Black Buffalo,Ictiobus niger,,Fishes,Ontario,Data Deficient,Schedule 3,Special Concern
Black Redhorse,Moxostoma duquesnei,,Fishes,Ontario,Threatened,No schedule,No Status
Black Tern,Chlidonias niger,,Birds,"Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,,
Black-footed Albatross,Phoebastria nigripes,,Birds,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Black-footed Ferret,Mustela nigripes,,Mammals,"Alberta, Saskatchewan",Extirpated,Schedule 1,Extirpated
Black-tailed Prairie Dog,Cynomys ludovicianus,,Mammals,Saskatchewan,Threatened,Schedule 1,Special Concern
Blackchin Shiner,Notropis heterodon,,Fishes,"Manitoba, Ontario, Quebec",Not at Risk,,
Blackfin Cisco,Coregonus nigripinnis,,Fishes,Ontario,Data Deficient,Schedule 2,Threatened
Blackline Prickleback,Acantholumpenus mackayi,,Fishes,Arctic Ocean,Data Deficient,Schedule 3,Special Concern
Blackstripe Topminnow,Fundulus notatus,,Fishes,Ontario,Special Concern,Schedule 1,Special Concern
Blainville's Beaked Whale,Mesoplodon densirostris,,Mammals,Atlantic Ocean,Not at Risk,,
Blanchard's Cricket Frog,Acris blanchardi,,Amphibians,Ontario,Endangered,Schedule 1,Endangered
Blanding's Turtle,Emydoidea blandingii,Nova Scotia population,Reptiles,Nova Scotia,Endangered,Schedule 1,Endangered
Blanding's Turtle,Emydoidea blandingii,Great Lakes / St. Lawrence population,Reptiles,"Ontario, Quebec",Threatened,Schedule 1,Threatened
Bloater,Coregonus hoyi,,Fishes,Ontario,Not at Risk,,
Blue Ash,Fraxinus quadrangulata,,Vascular Plants,Ontario,Special Concern,Schedule 1,Special Concern
Blue Felt Lichen,Degelia plumbea,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Special Concern,No schedule,No Status
Blue Phlox,Phlox alyssifolia,,Vascular Plants,"Alberta, Saskatchewan",Not at Risk,,
Blue Racer,Coluber constrictor foxii,,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Blue Shark,Prionace glauca,Atlantic population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Blue Walleye,Sander vitreus glaucus,,Fishes,Ontario,Extinct,,
Blue Whale,Balaenoptera musculus,,Mammals,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 3,Special Concern
Blue Whale,Balaenoptera musculus,Atlantic population,Mammals,Atlantic Ocean,Endangered,Schedule 1,Endangered
Blue Whale,Balaenoptera musculus,Pacific population,Mammals,Pacific Ocean,Endangered,Schedule 1,Endangered
Blue-grey Taildropper,Prophysaon coeruleum,,Molluscs,British Columbia,Endangered,Schedule 1,Endangered
Blueback Herring,Alosa aestivalis,,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Not at Risk,,
Bluehearts,Buchnera americana,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Blunt-lobed Woodsia,Woodsia obtusa,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened
Bluntnose Minnow,Pimephales notatus,,Fishes,"Manitoba, Ontario, Quebec",Not at Risk,,
Bluntnose Sixgill Shark,Hexanchus griseus,,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Bobolink,Dolichonyx oryzivorus,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Threatened,No schedule,No Status
Bocaccio,Sebastes paucispinis,,Fishes,Pacific Ocean,Endangered,No schedule,No Status
Bog Birdês-foot Trefoil,Lotus pinnatus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Bogbean Buckmoth,Hemileuca sp.,,Arthropods,Ontario,Endangered,Schedule 1,Endangered
Bolander's Quillwort,Isoetes bolanderi,,Vascular Plants,Alberta,Threatened,Schedule 1,Threatened
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichens,"New Brunswick, Nova Scotia",Endangered,Schedule 1,Endangered
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichens,Newfoundland and Labrador,Special Concern,Schedule 1,Special Concern
Boreal Owl,Aegolius funereus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Bowhead Whale,Balaena mysticetus,Bering-Chukchi-Beaufort population,Mammals,Arctic Ocean,Special Concern,Schedule 1,Special Concern
Bowhead Whale,Balaena mysticetus,Eastern Arctic population,Mammals,Arctic Ocean,Non-active,Schedule 2,Endangered
Bowhead Whale,Balaena mysticetus,Eastern Canada-West Greenland population,Mammals,Arctic Ocean,Special Concern,No schedule,No Status
Branched Bartonia,Bartonia paniculata ssp. paniculata,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Branched Phacelia,Phacelia ramosissima,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Bridle Shiner,Notropis bifrenatus,,Fishes,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Brindled Madtom,Noturus miurus,,Fishes,Ontario,Not at Risk,,
Broad Beech Fern,Phegopteris hexagonoptera,,Vascular Plants,"Ontario, Quebec",Special Concern,Schedule 3,Special Concern
Brook Floater,Alasmidonta varicosa,,Molluscs,"New Brunswick, Nova Scotia",Special Concern,Schedule 1,Special Concern
Brook Silverside,Labidesthes sicculus,,Fishes,"Ontario, Quebec",Not at Risk,,
Brook Spike-primrose,Epilobium torreyi,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
