Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Little Brown Myotis,Myotis lucifugus,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,No schedule,No Status
Loggerhead Sea Turtle,Caretta caretta,,Reptiles,Atlantic Ocean,Endangered,No schedule,No Status
Loggerhead Shrike excubitorides subspecies,Lanius ludovicianus excubitorides,,Birds,"Alberta, Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
Loggerhead Shrike migrans subspecies,Lanius ludovicianus migrans,,Birds,"Manitoba, Ontario, Quebec",Endangered,Schedule 1,Endangered
Long's Braya,Braya longii,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Endangered
Long's Bulrush,Scirpus longii,,Vascular Plants,Nova Scotia,Special Concern,Schedule 3,Special Concern
Long-billed Curlew,Numenius americanus,,Birds,"British Columbia, Alberta, Saskatchewan",Special Concern,Schedule 1,Special Concern
Long-finned Pilot Whale,Globicephala melas,,Mammals,Atlantic Ocean,Not at Risk,,
Long-toed Salamander,Ambystoma macrodactylum,,Amphibians,"British Columbia, Alberta",Not at Risk,,
Longear Sunfish,Lepomis megalotis,,Fishes,"Ontario, Quebec",Not at Risk,,
Longnose Skate,Raja rhina,,Fishes,Pacific Ocean,Not at Risk,,
Longspine Thornyhead,Sebastolobus altivelis,,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Louisiana Waterthrush,Parkesia motacilla,,Birds,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Lyall's Mariposa Lily,Calochortus lyallii,,Vascular Plants,British Columbia,Special Concern,Schedule 1,Threatened
Mackenzie Hairgrass,Deschampsia mackenzieana,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Macoun's Shining Moss,Neomacounia nitida,,Mosses,Ontario,Extinct,No schedule,No Status
Macropis Cuckoo Bee,Epeoloides pilosulus,,Arthropods,Nova Scotia,Endangered,No schedule,No Status
Magnum Mantleslug,Magnipelta mycophaga,,Molluscs,British Columbia,Special Concern,No schedule,No Status
Mapleleaf,Quadrula quadrula,Great Lakes - Western St. Lawrence population,Molluscs,Ontario,Threatened,Schedule 1,Threatened
Mapleleaf,Quadrula quadrula,Saskatchewan - Nelson population,Molluscs,Manitoba,Endangered,Schedule 1,Endangered
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Schedule 1,Threatened
Margined Madtom,Noturus insignis,,Fishes,"Ontario, Quebec",Data Deficient,Schedule 2,Threatened
Margined Streamside Moss,Scouleria marginata,,Mosses,British Columbia,Endangered,Schedule 1,Endangered
Maritime Ringlet,Coenonympha nipisiquit,,Arthropods,"Quebec, New Brunswick",Endangered,Schedule 1,Endangered
Massasauga,Sistrurus catenatus,,Reptiles,Ontario,Non-active,Schedule 1,Threatened
Massasauga,Sistrurus catenatus,Great Lakes / St. Lawrence population,Reptiles,Ontario,Threatened,No schedule,No Status
Massasauga,Sistrurus catenatus,Carolinian population,Reptiles,Ontario,Endangered,No schedule,No Status
McCown's Longspur,Rhynchophanes mccownii,,Birds,"Alberta, Saskatchewan",Special Concern,Schedule 1,Special Concern
Merlin,Falco columbarius,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Mexican Mosquito-fern,Azolla mexicana,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Milksnake,Lampropeltis triangulum,,Reptiles,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Misty Lake Lentic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Misty Lake Lotic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Monarch,Danaus plexippus,,Arthropods,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Special Concern,Schedule 1,Special Concern
Mormon Metalmark,Apodemia mormo,Southern Mountain population,Arthropods,British Columbia,Endangered,Schedule 1,Endangered
Mormon Metalmark,Apodemia mormo,Prairie population,Arthropods,Saskatchewan,Threatened,Schedule 1,Threatened
Mottled Duskywing,Erynnis martialis,Great Lakes Plains population,Arthropods,"Ontario, Quebec",Endangered,No schedule,No Status
Mottled Duskywing,Erynnis martialis,Boreal population,Arthropods,Manitoba,Endangered,No schedule,No Status
Mountain Beaver,Aplodontia rufa,,Mammals,British Columbia,Special Concern,Schedule 1,Special Concern
Mountain Holly Fern,Polystichum scopulinum,,Vascular Plants,"British Columbia, Quebec, Newfoundland and Labrador",Threatened,Schedule 1,Threatened
Mountain Plover,Charadrius montanus,,Birds,"Alberta, Saskatchewan",Endangered,Schedule 1,Endangered
Mountain Sucker,Catostomus platyrhynchus,Saskatchewan - Nelson River populations,Fishes,"Alberta, Saskatchewan",Not at Risk,,
Mountain Sucker,Catostomus platyrhynchus,Milk River populations,Fishes,"Alberta, Saskatchewan",Threatened,No schedule,No Status
Mountain Sucker,Catostomus platyrhynchus,Pacific populations,Fishes,British Columbia,Special Concern,No schedule,No Status
Mudpuppy,Necturus maculosus,,Amphibians,"Manitoba, Ontario, Quebec",Not at Risk,,
Muhlenberg's Centaury,Centaurium muehlenbergii,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Narrow-leaved Wallflower,Erysimum angustatum,,Vascular Plants,Yukon,Not at Risk,,
Narwhal,Monodon monoceros,,Mammals,Arctic Ocean,Special Concern,No schedule,No Status
Nebraska Sedge,Carex nebrascensis,,Vascular Plants,Alberta,Not at Risk,,
Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Not at Risk,,
New Jersey Rush,Juncus caesariensis,,Vascular Plants,Nova Scotia,Special Concern,Schedule 1,Special Concern
Nodding Pogonia,Triphora trianthophoros,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Non-pollinating Yucca Moth,Tegeticula corruptrix,,Arthropods,Alberta,Endangered,Schedule 1,Endangered
Nooksack Dace,Rhinichthys cataractae ssp.,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
North Atlantic Right Whale,Eubalaena glacialis,,Mammals,Atlantic Ocean,Endangered,Schedule 1,Endangered
North Pacific Right Whale,Eubalaena japonica,,Mammals,Pacific Ocean,Endangered,Schedule 1,Endangered
North Pacific Spiny Dogfish,Squalus suckleyi,,Fishes,Pacific Ocean,Special Concern,No schedule,No Status
Northern Abalone,Haliotis kamtschatkana,,Molluscs,Pacific Ocean,Endangered,Schedule 1,Endangered
Northern Alligator Lizard,Elgaria coerulea,,Reptiles,British Columbia,Not at Risk,,
Northern Barrens Tiger Beetle,Cicindela patruela,,Arthropods,"Ontario, Quebec",Endangered,Schedule 1,Endangered
Northern Bobwhite,Colinus virginianus,,Birds,Ontario,Endangered,Schedule 1,Endangered
Northern Bottlenose Whale,Hyperoodon ampullatus,Scotian Shelf population,Mammals,Atlantic Ocean,Endangered,Schedule 1,Endangered
Northern Bottlenose Whale,Hyperoodon ampullatus,Davis Strait-Baffin Bay-Labrador Sea population,Mammals,Atlantic Ocean,Special Concern,No schedule,No Status
Northern Brook Lamprey,Ichthyomyzon fossor,,Fishes,"Manitoba, Ontario, Quebec",Non-active,Schedule 3,Special Concern
Northern Brook Lamprey,Ichthyomyzon fossor,Great Lakes - Upper St. Lawrence populations,Fishes,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Northern Dusky Salamander,Desmognathus fuscus,Carolinian population,Amphibians,Ontario,Endangered,No schedule,No Status
Northern Dusky Salamander,Desmognathus fuscus,Quebec / New Brunswick population,Amphibians,"Quebec, New Brunswick",Not at Risk,,
Northern Elephant Seal,Mirounga angustirostris,,Mammals,"British Columbia, Pacific Ocean",Not at Risk,,
Northern Fur Seal,Callorhinus ursinus,,Mammals,"British Columbia, Pacific Ocean",Threatened,No schedule,No Status
Northern Goshawk atricapillus subspecies,Accipiter gentilis atricapillus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Northern Goshawk laingi subspecies,Accipiter gentilis laingi,,Birds,British Columbia,Threatened,Schedule 1,Threatened
Northern Grey Wolf,Canis lupus occidentalis,,Mammals,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Not at Risk,,
Northern Harrier,Circus cyaneus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Northern Hawk Owl,Surnia ulula,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Newfoundland and Labrador",Not at Risk,,
Northern Leopard Frog,Lithobates pipiens,Rocky Mountain population,Amphibians,British Columbia,Endangered,Schedule 1,Endangered
Northern Leopard Frog,Lithobates pipiens,Western Boreal/Prairie populations,Amphibians,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Special Concern,Schedule 1,Special Concern
Northern Leopard Frog,Lithobates pipiens,Eastern populations,Amphibians,"Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Northern Madtom,Noturus stigmosus,,Fishes,Ontario,Endangered,Schedule 1,Endangered
Northern Map Turtle,Graptemys geographica,,Reptiles,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Northern Mock Goldenweed,Stenotus borealis,,Vascular Plants,Yukon,Not at Risk,,
Northern Myotis,Myotis septentrionalis,,Mammals,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,No schedule,No Status
Northern Riffleshell,Epioblasma torulosa rangiana,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Northern Right Whale Dolphin,Lissodelphis borealis,,Mammals,Pacific Ocean,Not at Risk,,
Northern Rubber Boa,Charina bottae,,Reptiles,British Columbia,Special Concern,Schedule 1,Special Concern
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,,Birds,British Columbia,Threatened,Schedule 1,Threatened
Northern Watersnake,Nerodia sipedon sipedon,,Reptiles,"Ontario, Quebec",Not at Risk,,
Northern Wolffish,Anarhichas denticulatus,,Fishes,"Arctic Ocean, Atlantic Ocean",Threatened,Schedule 1,Threatened
Northwestern Gartersnake,Thamnophis ordinoides,,Reptiles,British Columbia,Not at Risk,,
Northwestern Salamander,Ambystoma gracile,,Amphibians,British Columbia,Not at Risk,,
Nugget Moss,Microbryum vlassovii,,Mosses,British Columbia,Endangered,Schedule 1,Endangered
Nuttall's Cottontail nuttallii subspecies,Sylvilagus nuttallii nuttallii,,Mammals,British Columbia,Special Concern,Schedule 1,Special Concern
Nuttall's Cottontail pinetis subspecies,Sylvilagus nuttallii pinetis,,Mammals,"Alberta, Saskatchewan",Not at Risk,,
Ogden's Pondweed,Potamogeton ogdenii,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Okanagan Efferia,Efferia okanagana,,Arthropods,British Columbia,Endangered,No schedule,No Status
Okanogan Stickseed,Hackelia ciliata,,Vascular Plants,British Columbia,Not at Risk,,
Oldgrowth Specklebelly Lichen,Pseudocyphellaria rainierensis,,Lichens,British Columbia,Special Concern,Schedule 1,Special Concern
Olive Clubtail,Stylurus olivaceus,,Arthropods,British Columbia,Endangered,No schedule,No Status
Olive-sided Flycatcher,Contopus cooperi,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Threatened,Schedule 1,Threatened
Olympia Oyster,Ostrea lurida,,Molluscs,"British Columbia, Pacific Ocean",Special Concern,Schedule 1,Special Concern
Orangespotted Sunfish,Lepomis humilis,,Fishes,Ontario,Non-active,Schedule 3,Special Concern
Ord's Kangaroo Rat,Dipodomys ordii,,Mammals,"Alberta, Saskatchewan",Endangered,Schedule 1,Endangered
Oregon Branded Skipper,Hesperia colorado oregonia,,Arthropods,British Columbia,Endangered,,
Oregon Forestsnail,Allogona townsendiana,,Molluscs,British Columbia,Endangered,Schedule 1,Endangered
Oregon Lupine,Lupinus oreganus,,Vascular Plants,British Columbia,Extirpated,Schedule 1,Extirpated
Oregon Spotted Frog,Rana pretiosa,,Amphibians,British Columbia,Endangered,Schedule 1,Endangered
Ottoe Skipper,Hesperia ottoe,,Arthropods,Manitoba,Endangered,Schedule 1,Endangered
Pacific Gophersnake,Pituophis catenifer catenifer,,Reptiles,British Columbia,Extirpated,Schedule 1,Extirpated
Pacific Pond Turtle,Actinemys marmorata,,Reptiles,British Columbia,Extirpated,Schedule 1,Extirpated
Pacific Rhododendron,Rhododendron macrophyllum,,Vascular Plants,British Columbia,Not at Risk,,
Pacific Sardine,Sardinops sagax,,Fishes,Pacific Ocean,Not at Risk,Schedule 3,Special Concern
Pacific Water Shrew,Sorex bendirii,,Mammals,British Columbia,Endangered,Schedule 1,Endangered
Pacific White-sided Dolphin,Lagenorhynchus obliquidens,,Mammals,Pacific Ocean,Not at Risk,,
Paddlefish,Polyodon spathula,,Fishes,Ontario,Extirpated,Schedule 1,Extirpated
Pale Yellow Dune Moth,Copablepharon grandis,,Arthropods,"Alberta, Saskatchewan, Manitoba",Special Concern,Schedule 1,Special Concern
Pale-bellied Frost Lichen,Physconia subpallida,,Lichens,Ontario,Endangered,Schedule 1,Endangered
Pallid Bat,Antrozous pallidus,,Mammals,British Columbia,Threatened,Schedule 1,Threatened
Parker's Pipewort,Eriocaulon parkeri,,Vascular Plants,"Quebec, New Brunswick",Not at Risk,,
Passenger Pigeon,Ectopistes migratorius,,Birds,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Extinct,,
Paxton Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Paxton Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fishes,British Columbia,Endangered,Schedule 1,Endangered
Peacock Vinyl Lichen,Leptogium polycarpum,,Lichens,British Columbia,Special Concern,No schedule,No Status
Peary Caribou,Rangifer tarandus pearyi,High Arctic population,Mammals,"Northwest Territories, Nunavut",Non-active,Schedule 2,Endangered
Peary Caribou,Rangifer tarandus pearyi,Low Arctic population,Mammals,"Northwest Territories, Nunavut",Non-active,Schedule 2,Threatened
Peary Caribou,Rangifer tarandus pearyi,Banks Island population,Mammals,Northwest Territories,Non-active,Schedule 2,Endangered
Peary Caribou,Rangifer tarandus pearyi,,Mammals,"Northwest Territories, Nunavut",Endangered,Schedule 1,Endangered
Peregrine Falcon anatum/tundrius,Falco peregrinus anatum/tundrius,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Special Concern,Schedule 1,Special Concern
Peregrine Falcon pealei subspecies,Falco peregrinus pealei,,Birds,British Columbia,Special Concern,Schedule 1,Special Concern
Peregrine Falcon tundrius subspecies,Falco peregrinus tundrius,,Birds,"Yukon, Northwest Territories, Nunavut, Quebec, Newfoundland and Labrador",Non-active,Schedule 3,Special Concern
Phantom Orchid,Cephalanthera austiniae,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Pickerel Frog,Rana palustris,,Amphibians,"Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,,
Pink Coreopsis,Coreopsis rosea,,Vascular Plants,Nova Scotia,Endangered,Schedule 1,Endangered
Pink Milkwort,Polygala incarnata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Pink Sand-verbena,Abronia umbellata,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Pink-footed Shearwater,Puffinus creatopus,,Birds,British Columbia,Threatened,Schedule 1,Threatened
Piping Plover circumcinctus subspecies,Charadrius melodus circumcinctus,,Birds,"Alberta, Saskatchewan, Manitoba, Ontario",Endangered,Schedule 1,Endangered
Piping Plover melodus subspecies,Charadrius melodus melodus,,Birds,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Schedule 1,Endangered
Pitcher's Thistle,Cirsium pitcheri,,Vascular Plants,Ontario,Special Concern,Schedule 1,Endangered
Plains Bison,Bison bison bison,,Mammals,"British Columbia, Alberta, Saskatchewan",Threatened,No schedule,No Status
Plains Minnow,Hybognathus placitus,,Fishes,Saskatchewan,Threatened,No schedule,No Status
Plains Pocket Gopher,Geomys bursarius,,Mammals,Manitoba,Not at Risk,,
Plains Spadefoot,Spea bombifrons,,Amphibians,"Alberta, Saskatchewan, Manitoba",Not at Risk,,
Plymouth Gentian,Sabatia kennedyana,,Vascular Plants,Nova Scotia,Endangered,Schedule 1,Threatened
Polar Bear,Ursus maritimus,,Mammals,"Yukon, Northwest Territories, Nunavut, Manitoba, Ontario, Quebec, Newfoundland and Labrador, Arctic Ocean",Special Concern,Schedule 1,Special Concern
Poor Pocket Moss,Fissidens pauperculus,,Mosses,British Columbia,Endangered,Schedule 1,Endangered
Porbeagle,Lamna nasus,,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Porsild's Bryum,Haplodontium macrocarpum,,Mosses,"Nunavut, British Columbia, Alberta, Newfoundland and Labrador",Threatened,Schedule 1,Threatened
Poweshiek Skipperling,Oarisma poweshiek,,Arthropods,Manitoba,Threatened,Schedule 1,Threatened
Prairie Falcon,Falco mexicanus,,Birds,"British Columbia, Alberta, Saskatchewan",Not at Risk,,
Prairie Long-tailed Weasel,Mustela frenata longicauda,,Mammals,"Alberta, Saskatchewan, Manitoba",Not at Risk,,
Prairie Lupine,Lupinus lepidus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Prairie Skink,Plestiodon septentrionalis,,Reptiles,Manitoba,Endangered,Schedule 1,Endangered
Prairie Warbler,Setophaga discolor,,Birds,Ontario,Not at Risk,,
Prothonotary Warbler,Protonotaria citrea,,Birds,Ontario,Endangered,Schedule 1,Endangered
Prototype Quillwort,Isoetes prototypus,,Vascular Plants,"New Brunswick, Nova Scotia",Special Concern,Schedule 1,Special Concern
Provancher's Fleabane,Erigeron philadelphicus var. provancheri,,Vascular Plants,Quebec,Special Concern,Schedule 3,Special Concern
Puget Oregonian,Cryptomastix devia,,Molluscs,British Columbia,Extirpated,Schedule 1,Extirpated
Pugnose Minnow,Opsopoeodus emiliae,,Fishes,Ontario,Threatened,Schedule 1,Special Concern
Pugnose Shiner,Notropis anogenus,,Fishes,Ontario,Threatened,Schedule 1,Endangered
Purple Sanicle,Sanicula bipinnatifida,,Vascular Plants,British Columbia,Threatened,Schedule 1,Threatened
Purple Twayblade,Liparis liliifolia,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Endangered
Pygmy Pocket Moss,Fissidens exilis,,Mosses,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Pygmy Short-horned Lizard,Phrynosoma douglasii,,Reptiles,British Columbia,Extirpated,Schedule 1,Extirpated
Pygmy Snaketail,Ophiogomphus howei,,Arthropods,"Ontario, New Brunswick",Special Concern,Schedule 1,Special Concern
Pygmy Sperm Whale,Kogia breviceps,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Queensnake,Regina septemvittata,,Reptiles,Ontario,Endangered,Schedule 1,Endangered
Quillback Rockfish,Sebastes maliger,,Fishes,Pacific Ocean,Threatened,No schedule,No Status
Rainbow,Villosa iris,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Rainbow Smelt,Osmerus mordax,Lake Utopia small-bodied population,Fishes,New Brunswick,Threatened,Schedule 1,Threatened
Rainbow Smelt,Osmerus mordax,Lake Utopia large-bodied population,Fishes,New Brunswick,Threatened,No schedule,No Status
Rapids Clubtail,Gomphus quadricolor,,Arthropods,Ontario,Endangered,Schedule 1,Endangered
Rayed Bean,Villosa fabalis,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Rayless Goldfields,Lasthenia glaberrima,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Red Crossbill percna subspecies,Loxia curvirostra percna,,Birds,Newfoundland and Labrador,Endangered,Schedule 1,Endangered
Red Knot islandica subspecies,Calidris canutus islandica,,Birds,"Northwest Territories, Nunavut",Special Concern,Schedule 1,Special Concern
Red Knot roselaari type,Calidris canutus roselaari type,,Birds,"Yukon, Northwest Territories, British Columbia",Threatened,Schedule 1,Threatened
Red Knot rufa subspecies,Calidris canutus rufa,,Birds,"Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Endangered,Schedule 1,Endangered
Red Mulberry,Morus rubra,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Red-headed Woodpecker,Melanerpes erythrocephalus,,Birds,"Saskatchewan, Manitoba, Ontario, Quebec",Threatened,Schedule 1,Threatened
Red-legged Frog,Rana aurora,,Amphibians,British Columbia,Special Concern,Schedule 1,Special Concern
Red-necked Grebe,Podiceps grisegena,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Red-shouldered Hawk,Buteo lineatus,,Birds,"Ontario, Quebec, New Brunswick",Not at Risk,Schedule 3,Special Concern
Red-tailed Hawk,Buteo jamaicensis,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Redbreast Sunfish,Lepomis auritus,,Fishes,New Brunswick,Data Deficient,Schedule 3,Special Concern
Redfin Pickerel,Esox americanus americanus,,Fishes,Quebec,Not at Risk,,
Redfin Shiner,Lythrurus umbratilis,,Fishes,Ontario,Not at Risk,,
Redroot,Lachnanthes caroliniana,,Vascular Plants,Nova Scotia,Special Concern,Schedule 1,Special Concern
Redside Dace,Clinostomus elongatus,,Fishes,Ontario,Endangered,Schedule 3,Special Concern
Riddell's Goldenrod,Solidago riddellii,,Vascular Plants,"Manitoba, Ontario",Special Concern,Schedule 1,Special Concern
Right Whale,Eubalaena glacialis,,Mammals,"Pacific Ocean, Atlantic Ocean",Non-active,Schedule 2,Endangered
Rigid Apple Moss,Bartramia stricta,,Mosses,British Columbia,Endangered,Schedule 1,Endangered
Ringed Seal,Phoca hispida,,Mammals,"Arctic Ocean, Atlantic Ocean",Not at Risk,,
Risso's Dolphin,Grampus griseus,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
River Chub,Nocomis micropogon,,Fishes,Ontario,Not at Risk,,
River Darter,Percina shumardi,,Fishes,"Manitoba, Ontario",Not at Risk,,
River Redhorse,Moxostoma carinatum,,Fishes,"Ontario, Quebec",Special Concern,Schedule 1,Special Concern
Riverine Clubtail,Stylurus amnicola,Great Lakes Plains population,Arthropods,Ontario,Endangered,No schedule,No Status
Rocky Mountain Capshell,Acroloxus coloradensis,Western population,Molluscs,"British Columbia, Alberta",Not at Risk,,
Rocky Mountain Ridged Mussel,Gonidea angulata,,Molluscs,British Columbia,Endangered,Schedule 1,Special Concern
Rocky Mountain Sculpin,Cottus sp.,Eastslope populations,Fishes,Alberta,Threatened,Schedule 1,Threatened
Rocky Mountain Sculpin,Cottus sp.,Westslope populations,Fishes,British Columbia,Special Concern,No schedule,No Status
Rocky Mountain Tailed Frog,Ascaphus montanus,,Amphibians,British Columbia,Threatened,Schedule 1,Endangered
Roell's Brotherella Moss,Brotherella roellii,,Mosses,British Columbia,Endangered,No schedule,No Status
Roseate Tern,Sterna dougallii,,Birds,"Quebec, New Brunswick, Nova Scotia",Endangered,Schedule 1,Endangered
Ross's Gull,Rhodostethia rosea,,Birds,"Nunavut, Manitoba",Threatened,Schedule 1,Threatened
Rosy Owl-clover,Orthocarpus bracteosus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Rosyface Shiner,Notropis rubellus,,Fishes,"Ontario, Quebec",Not at Risk,,
Rough Agalinis,Agalinis aspera,,Vascular Plants,Manitoba,Endangered,Schedule 1,Endangered
Rough-legged Hawk,Buteo lagopus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Not at Risk,,
Rougheye Rockfish type I,Sebastes sp. type I,,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Rougheye Rockfish type II,Sebastes sp. type II,,Fishes,Pacific Ocean,Special Concern,Schedule 1,Special Concern
Roughhead Grenadier,Macrourus berglax,,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Round Hickorynut,Obovaria subrotunda,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Round Pigtoe,Pleurobema sintoxia,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Round-leaved Greenbrier,Smilax rotundifolia,Great Lakes Plains population,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Round-leaved Greenbrier,Smilax rotundifolia,Atlantic population,Vascular Plants,Nova Scotia,Not at Risk,,
Roundnose Grenadier,Coryphaenoides rupestris,,Fishes,"Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Rush Pink,Stephanomeria runcinata,,Vascular Plants,"Alberta, Saskatchewan",Not at Risk,,
Rusty Blackbird,Euphagus carolinus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Special Concern,Schedule 1,Special Concern
Rusty Cord-moss,Entosthodon rubiginosus,,Mosses,British Columbia,Endangered,Schedule 1,Endangered
Rusty-patched Bumble Bee,Bombus affinis,,Arthropods,"Ontario, Quebec",Endangered,Schedule 1,Endangered
Sage Thrasher,Oreoscoptes montanus,,Birds,"British Columbia, Alberta, Saskatchewan",Endangered,Schedule 1,Endangered
Salamander Mussel,Simpsonaias ambigua,,Molluscs,Ontario,Endangered,Schedule 1,Endangered
Salish Sucker,Catostomus sp. cf. catostomus,,Fishes,British Columbia,Threatened,Schedule 1,Endangered
Sand Stitchwort,Stellaria arenicola,,Vascular Plants,"Alberta, Saskatchewan",Not at Risk,,
Sand-dune Short-capsuled Willow,Salix brachycarpa var. psammophila,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern
Sand-verbena Moth,Copablepharon fuscum,,Arthropods,British Columbia,Endangered,Schedule 1,Endangered
Sandhill Crane tabida subspecies,Grus canadensis tabida,,Birds,"British Columbia, Manitoba, Ontario",Not at Risk,,
Sandpaper Skate,Bathyraja interrupta,,Fishes,Pacific Ocean,Not at Risk,,
Savannah Sparrow princeps subspecies,Passerculus sandwichensis princeps,,Birds,Nova Scotia,Special Concern,Schedule 1,Special Concern
Scarlet Ammannia,Ammannia robusta,,Vascular Plants,"British Columbia, Ontario",Endangered,Schedule 1,Endangered
Scouler's Corydalis,Corydalis scouleri,,Vascular Plants,British Columbia,Not at Risk,No schedule,No Status
